afferenet,animal,use,popCode,dontUSE,figure,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,high_firing_Hz,receptiveField,Trial#,TrigStart.R,ms.F,Dyn.pfr,stat.halfHold,stat.firstSpikeHold,Stat.HzEnd,dyn.halfRamp,Stat.pps,Stat.avg,Stat.HzSTD,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,cond_delay
A100401_22_152_cell 11,A100401_22_152,0,,,,cell 11,1,wt,wt_ra2,0,0,,2,ra2,,,,,99.645,0.821777,0.073045,0.072743,63.90593,15.512534,0.073045,0.072743,30.407189,14.432044,0,39.806,15.6341,0.479959,373.95,20.694551,2,10,0.000302,0,-111.288794,
A100401_22_152_cell 13,A100401_22_152,1,,,,cell 13,1,wt,wt_sa1,0,0,,3,sa1,,,,,131.718,0.167036,113.224638,3.936016,106.837607,9.354887,113.843352,2.22412,22.894041,31.585957,0,11.27,6.023854,0.41138,9575.622,19.777207,6,43,109.288622,-1274.855527,-6.400799,
A100401_22_152_cell 13,A100401_22_152,0,,,,cell 13,1,wt,wt_sa1,0,0,,3,sa1,,,,,145.848999,0.160006,173.611111,0.874799,152.068127,3.215021,135.281385,2.051131,29.470213,41.545657,0,14.975,5.937515,0.241292,9539.775,19.451505,7,45,172.736312,1987.93585,-7.558702,
A100401_22_152_cell 13,A100401_22_152,0,,,,cell 13,1,wt,wt_sa1,0,0,,3,sa1,,,,,159.979998,0.201335,148.809524,1.124364,166.666667,7.090992,99.206349,3.361842,27.730551,39.790452,0,15.512,6.608263,0.246501,9731.736,19.755772,6,43,147.68516,1574.128131,-8.221343,
A100401_22_152_cell 14,A100401_22_152,0,,,,cell 14,1,wt,wt_ra1,0,0,,1,ra1,,,,,84.038352,6.818358,0.320459,0.099038,0.099038,0.320459,0.099038,0.099038,0,0,0,-19.066,-2.869238,-0.035421,-69.066,3.94912,1,1,0.221421,0,0,
A100401_22_152_cell 14,A100401_22_152,1,1,,,cell 14,1,wt,wt_ra1,0,0,,1,ra1,,,,,98.139999,0.556726,0.247898,0.070766,0.070766,0.247898,0.070766,0.070766,0,0,0,10.391,4.216551,0.122397,-39.609,4.773276,1,0,0.177132,0,0,
A100401_22_152_cell 14,A100401_22_152,0,,,,cell 14,1,wt,wt_ra1,0,0,,1,ra1,,,,,112.270998,0.48338,0.070766,0.073256,0.073256,0.070766,0.073256,0.073256,0,0,0,10.448,4.528224,0.112122,-39.552,5.011604,1,0,-0.00249,0,0,
A100401_22_152_cell 15,A100401_22_152,0,,,,cell 15,1,wt,wt_ra2,0,0,,2,ra2,,,,,53.888646,20.093215,66.56017,0.072475,33.440342,16.720171,66.98821,0.072475,35.265821,15.179271,0,-19.984,-0.162513,-0.005446,199.872,19.916353,7,7,66.487695,-412.047432,-130.017678,
A100401_22_152_cell 15,A100401_22_152,0,,,,cell 15,1,wt,wt_ra2,0,0,,2,ra2,,,,,67.923,0.485378,160.25641,0.071504,168.010753,23.809524,136.165577,0.071504,78.926723,52.285542,0,13.31,5.749472,0.163336,110.958,20.260766,7,6,160.184906,2237.141642,-2541.019857,
A100401_22_152_cell 15,A100401_22_152,1,,,,cell 15,1,wt,wt_ra2,0,0,,2,ra2,,,,,82.053999,0.596127,144.675926,0.074423,153.186275,10.132944,97.352025,0.074423,62.47293,63.022702,0,15.095,5.957523,0.168474,151.383,20.421709,6,4,144.601503,2232.757419,-2283.843582,
